name,unit,4c4dfac0b2a911f6c0a2fffec2f6861d783ae534
memory_allocated_in_heap,MiB,214353
memory_copied_during_GC,MiB,25416
maximum_residency,MiB,792
memory_maximum_slop,KiB,808
total_memory_in_use,MiB,1675
Total,s,93.38
Core.OrthogonalClosure,s,3.28
Synthetic.Categories.HornGlueing,s,2.99
Core.CanonicalPushouts,s,2.67
Synthetic.Categories.Spaces,s,2.45
Core.Joins,s,2.09
Synthetic.Categories.Precategories,s,1.92
Core.Cube,s,1.73
Core.CanonicalSequentialColimits,s,1.73
Synthetic.Categories.Homotopy,s,1.55
Core.SpanMaps,s,1.43
Core.CartesianSquares,s,1.42
Core.Coequalisers,s,1.39
Synthetic.Categories.Cocomma,s,1.38
Synthetic.Categories.ContravariantHomFamilies,s,1.36
Algebra.Lattice.Instances.Quotient,s,1.33
Algebra.Lattice,s,1.27
Synthetic.Tiny,s,1.22
Synthetic.Categories.AssociativitySegal,s,1.2
Modalities.GlobalReflectiveSubuniverses,s,1.2
Synthetic.Categories.CovariantHomFamilies,s,1.18
Miscellaneous,s,1.14
Core.ArrowRetracts,s,1.08
Core.CartesianStraightening,s,1.06
Synthetic.Triangles,s,1.0
Core.Arrows,s,1.0
Synthetic.Categories.WalkingIso,s,0.95
Synthetic.Categories.JoinSlice,s,0.92
Core.PushoutEquiv,s,0.9
Core.SeqMapHomotopy,s,0.88
Core.CosliceOrthogonality,s,0.87
Core.FunctorialityPullbacks,s,0.87
Synthetic.Categories.Comma,s,0.79
Synthetic.Categories.CovariantFamilies,s,0.78
Core.CocartesianSquares,s,0.78
Core.FibredJoin,s,0.78
Synthetic.Categories.CovariantClosure,s,0.7
Ergonomics.PushoutUniv,s,0.69
Foundations.EckmannHilton,s,0.66
Synthetic.Categories.Isomorphisms,s,0.65
Core.PullbackPowers,s,0.64
Modalities.ConnectedMaps,s,0.63
Modalities.Instances.Localisation,s,0.61
Synthetic.Hom,s,0.6
Synthetic.Categories.WalkingHomotopy,s,0.59
Foundations.Equivalences,s,0.58
